Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\shell32.dll

File Type: DLL

  Section contains the following exports for SHELL32.dll

    00000000 characteristics
    6A056922 time date stamp
        0.00 version
           2 ordinal base
        2000 number of functions
         482 number of names

    ordinal hint RVA      name

        588  1C0 002241F0 Shell_NotifyIconA
        589  1C1 00107810 Shell_NotifyIconGetRect
        590  1C2 00048D00 Shell_NotifyIconW
        103  1C3 000A8010 SignalFileOpen
        682  1C4 0028C190 StgMakeUniqueName
        591  1C5 0010F170 StrChrA
        592  1C6 0010F180 StrChrIA
        593  1C7 0010F190 StrChrIW
        594  1C8 0010F1A0 StrChrW
        595  1C9 0010F1B0 StrCmpNA
        596  1CA 0010F1C0 StrCmpNIA
        597  1CB 0010F1D0 StrCmpNIW
        598  1CC 0010F1E0 StrCmpNW
        599  1CD 0018B920 StrNCmpA
        600  1CE 0018B9E0 StrNCmpIA
        601  1CF 0018BAA0 StrNCmpIW
        602  1D0 0018BB70 StrNCmpW
        603  1D1 0010F1F0 StrRChrA
        604  1D2 0010F200 StrRChrIA
        605  1D3 0010F210 StrRChrIW
        606  1D4 0010F220 StrRChrW
        607  1D5 0018BC60 StrRStrA
        608  1D6 0010F230 StrRStrIA
        609  1D7 0010F240 StrRStrIW
        610  1D8 0018BD40 StrRStrW
        611  1D9 0010F250 StrStrA
        612  1DA 0010F260 StrStrIA
        613  1DB 0010F270 StrStrIW
        614  1DC 0010F280 StrStrW
        615  1DD 0028E150 UsersLibrariesFolderUI_CreateInstance
        616  1DE 001B1E90 WOWShellExecute
        617  1DF 00223360 WaitForExplorerRestartW
        164  1E0 0018C580 Win32DeleteFile
        652  1E1 00023D60 WriteCabinetState
          5               [NONAME] (forwarded to SHUNIMPL.#35)
          7               [NONAME] (forwarded to SHUNIMPL.#192)
          8               [NONAME] (forwarded to SHUNIMPL.#193)
         12      0027C5D0 [NONAME]
         15      0023CC60 [NONAME]
         20      0003A250 [NONAME]
         26               [NONAME] (forwarded to SHUNIMPL.#36)
         29      00205A80 [NONAME]
         30               [NONAME] (forwarded to shlwapi.PathBuildRootW)
         31               [NONAME] (forwarded to shlwapi.PathFindExtensionW)
         32               [NONAME] (forwarded to shlwapi.PathAddBackslashW)
         33               [NONAME] (forwarded to shlwapi.PathRemoveBlanksW)
         34               [NONAME] (forwarded to shlwapi.PathFindFileNameW)
         35      00205F60 [NONAME]
         36      002057B0 [NONAME]
         37               [NONAME] (forwarded to shlwapi.PathCombineW)
