Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\spacebridge.dll

File Type: DLL

  Section contains the following exports for spacebridge.dll

    00000000 characteristics
    D7EB1722 time date stamp
        0.00 version
           1 ordinal base
        1142 number of functions
        1142 number of names

    ordinal hint RVA      name

        340  153 00002DA0 SDB_CONFIG_Get_OldVersion
        341  154 00002AD0 SDB_CONFIG_Get_RawConfig
        342  155 00002B50 SDB_CONFIG_Get_Records
        343  156 00002B10 SDB_CONFIG_Get_Version
        344  157 00005580 SDB_CONFIG_ImportRecords
        345  158 00005140 SDB_CONFIG_InsertRecord
        346  159 00005320 SDB_CONFIG_IntegrityCheck
        347  15A 000055F0 SDB_CONFIG_NeedRecordId
        348  15B 000011A0 SDB_CONFIG_NewConfiguration
        349  15C 000054C0 SDB_CONFIG_NewPath
        350  15D 000055E0 SDB_CONFIG_NextRecordId
        351  15E 000052D0 SDB_CONFIG_OnUpdate
        352  15F 00005280 SDB_CONFIG_Read
        353  160 00005190 SDB_CONFIG_RemoveRecord
        354  161 00005230 SDB_CONFIG_Set_MaxRecordId
        355  162 00005250 SDB_CONFIG_Set_MinRecordId
        356  163 00005270 SDB_CONFIG_Set_NumberOfRecordsAt
        357  164 00002900 SDB_CONFIG_Set_OldNextRecordId
        358  165 00002DB0 SDB_CONFIG_Set_OldVersion
        359  166 00002AE0 SDB_CONFIG_Set_RawConfig
        360  167 00005210 SDB_CONFIG_Set_Records
        361  168 00002B20 SDB_CONFIG_Set_Version
        362  169 00005480 SDB_CONFIG_Synchronize
        363  16A 00005370 SDB_CONFIG_UnformatRecord
        364  16B 000055A0 SDB_CONFIG_UpgradeTransaction
        365  16C 00005F30 SDB_DRIVE_Associate
        366  16D 00005FF0 SDB_DRIVE_ChangeSlabBitmap
        367  16E 00005E80 SDB_DRIVE_Clone
        368  16F 00004FB0 SDB_DRIVE_CollectTelemetry
        369  170 00005F70 SDB_DRIVE_Connect
        370  171 00005A00 SDB_DRIVE_Destruct
        371  172 00006000 SDB_DRIVE_FindFreeSpace
        372  173 00005ED0 SDB_DRIVE_Format
        373  174 00005E20 SDB_DRIVE_FromTempListEntry
        374  175 00006010 SDB_DRIVE_GetAvailableCapacity
        375  176 00006060 SDB_DRIVE_GetConsumedCapacity
        376  177 00006150 SDB_DRIVE_GetDrive
        377  178 000060F0 SDB_DRIVE_GetExtent
        378  179 00005EE0 SDB_DRIVE_GetSize
        379  17A 00003E30 SDB_DRIVE_Get_Capacity
        380  17B 00005D70 SDB_DRIVE_Get_CxxSize
        381  17C 00004650 SDB_DRIVE_Get_Description
        382  17D 00005A30 SDB_DRIVE_Get_DriveId
        383  17E 00005DA0 SDB_DRIVE_Get_Element
        384  17F 00003E50 SDB_DRIVE_Get_ExtentArray
        385  180 00005A70 SDB_DRIVE_Get_Flags
        386  181 00005DE0 SDB_DRIVE_Get_InMaintenance
        387  182 00005D80 SDB_DRIVE_Get_MediaType
        388  183 00003DD0 SDB_DRIVE_Get_Name
        389  184 00005DC0 SDB_DRIVE_Get_RepairDelayTime
        390  185 00005E00 SDB_DRIVE_Get_TempFlags
        391  186 00005E30 SDB_DRIVE_Get_TempListEntry
        392  187 00005A90 SDB_DRIVE_Get_Usage
        393  188 00005E60 SDB_DRIVE_Initialize
        394  189 000060B0 SDB_DRIVE_InsertExtentRecord
        395  18A 00005EF0 SDB_DRIVE_IntegrityCheck
        396  18B 00005FB0 SDB_DRIVE_ReinitializeBuffers
        397  18C 00006110 SDB_DRIVE_RemoveExtentRecord
        398  18D 00003E40 SDB_DRIVE_Set_Capacity
