Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\oleaut32.dll

File Type: DLL

  Section contains the following exports for OLEAUT32.dll

    00000000 characteristics
    BCDE805B time date stamp
        0.00 version
           2 ordinal base
         501 number of functions
         425 number of names

    ordinal hint RVA      name

        430  195 00059050 VarUI8FromI2
        428  196 00059070 VarUI8FromI8
        431  197 00059090 VarUI8FromR4
        432  198 000590A0 VarUI8FromR8
        435  199 00004E00 VarUI8FromStr
        429  19A 00058680 VarUI8FromUI1
        439  19B 00058690 VarUI8FromUI2
        440  19C 000586A0 VarUI8FromUI4
        331  19D 00005C40 VarUdateFromDate
        128  19E 00069830 VarWeekdayName
        167  19F 00054540 VarXor
         12  1A0 000093C0 VariantChangeType
        147  1A1 000093F0 VariantChangeTypeEx
          9  1A2 0008C090 VariantClear
         10  1A3 0008BDC0 VariantCopy
         11  1A4 0008C110 VariantCopyInd
          8  1A5 0008C0F0 VariantInit
         13  1A6 0005ACA0 VariantTimeToDosDateTime
        185  1A7 00005B80 VariantTimeToSystemTime
        413  1A8 000590E0 VectorFromBstr
        501      0002F710 [NONAME]
        502      00030F10 [NONAME]

  Summary

        3000 .data
        1000 .didat
        9000 .pdata
       26000 .rdata
        3000 .reloc
        1000 .rsrc
       8C000 .text
