Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    3230AA04 time date stamp
        0.00 version
           8 ordinal base
        2364 number of functions
        2363 number of names

    ordinal hint RVA      name

        518  1FD 000A2320 NtRaiseException
        519  1FE 000A2340 NtRaiseHardError
        520  1FF 0009F810 NtReadFile
        521  200 0009FD10 NtReadFileScatter
        522  201 000A2360 NtReadOnlyEnlistment
        523  202 000A01D0 NtReadRequestData
        524  203 0009FF30 NtReadVirtualMemory
        525  204 000A2380 NtRecoverEnlistment
        526  205 000A23A0 NtRecoverResourceManager
        527  206 000A23C0 NtRecoverTransactionManager
        528  207 000A23E0 NtRegisterProtocolAddressInformation
        529  208 000A2400 NtRegisterThreadTerminatePort
        530  209 000A2420 NtReleaseKeyedEvent
        531  20A 0009FB50 NtReleaseMutant
        532  20B 0009F890 NtReleaseSemaphore
